
Algorithm, Puzzle, Cost, Length Of Solution, Length Of Search, Execution, No Solution, Optimality

Algorithm, Puzzle, Cost, Length Of Solution, Length Of Search, Execution, No Solution, Optimality
ucs, 0, 0, 0, 2280, 60.0183641910553,1,,3 0 1 4 2 6 5 7
ucs, 1, 0, 0, 2359, 60.04271054267883,1,,6 3 4 7 1 2 5 0
ucs, 2, 9, 10, 1239, 18.34591293334961,0,,1 0 3 6 5 2 7 4
Total-ucs,3 , 9,10, 5878, 138.40698766708374,2
Average-ucs, , 9.0,10.0, 1959.3333333333333, 138.40698766708374,0.6666666666666666

Algorithm, Puzzle, Cost, Length Of Solution, Length Of Search, Execution, No Solution, Optimality
gbfsH0, 0, 0, 0, 2632, 60.01193881034851,1,,3 0 1 4 2 6 5 7
gbfsH0, 1, 12, 9, 2293, 47.38859844207764,0,,6 3 4 7 1 2 5 0
gbfsH0, 2, 0, 0, 2562, 60.02569556236267,1,,1 0 3 6 5 2 7 4
Total-gbfsH0,3 , 12,9, 7487, 167.42623281478882,2
Average-gbfsH0, , 12.0,9.0, 2495.6666666666665, 167.42623281478882,0.6666666666666666

Algorithm, Puzzle, Cost, Length Of Solution, Length Of Search, Execution, No Solution, Optimality
gbfsH1, 0, 19, 13, 33, 0.024489641189575195,0,,3 0 1 4 2 6 5 7
gbfsH1, 1, 40, 23, 71, 0.08156228065490723,0,,6 3 4 7 1 2 5 0
gbfsH1, 2, 17, 10, 39, 0.027924537658691406,0,,1 0 3 6 5 2 7 4
Total-gbfsH1,3 , 76,46, 143, 0.13397645950317383,0
Average-gbfsH1, , 25.333333333333332,15.333333333333334, 47.666666666666664, 0.044658819834391274,0.0

Algorithm, Puzzle, Cost, Length Of Solution, Length Of Search, Execution, No Solution, Optimality
gbfsH2, 0, 20, 13, 56, 0.08423781394958496,0,,3 0 1 4 2 6 5 7
gbfsH2, 1, 18, 11, 14, 0.012964487075805664,0,,6 3 4 7 1 2 5 0
gbfsH2, 2, 26, 16, 38, 0.04288649559020996,0,,1 0 3 6 5 2 7 4
Total-gbfsH2,3 , 64,40, 108, 0.14008879661560059,0
Average-gbfsH2, , 21.333333333333332,13.333333333333334, 36.0, 0.04669626553853353,0.0

Algorithm, Puzzle, Cost, Length Of Solution, Length Of Search, Execution, No Solution, Optimality
astarH0, 0, 0, 0, 2355, 60.01521944999695,1,,3 0 1 4 2 6 5 7
astarH0, 1, 0, 0, 2420, 60.04034209251404,1,,6 3 4 7 1 2 5 0
astarH0, 2, 9, 10, 701, 5.539067029953003,0,,1 0 3 6 5 2 7 4
Total-astarH0,3 , 9,10, 5476, 125.59462857246399,2
Average-astarH0, , 9.0,10.0, 1825.3333333333333, 125.59462857246399,0.6666666666666666

Algorithm, Puzzle, Cost, Length Of Solution, Length Of Search, Execution, No Solution, Optimality
astarH1, 0, 13, 11, 599, 4.809277772903442,0,,3 0 1 4 2 6 5 7
astarH1, 1, 12, 9, 355, 1.673548936843872,0,,6 3 4 7 1 2 5 0
astarH1, 2, 9, 10, 66, 0.07083487510681152,0,,1 0 3 6 5 2 7 4
Total-astarH1,3 , 34,30, 1020, 6.553661584854126,0
Average-astarH1, , 11.333333333333334,10.0, 340.0, 2.184553861618042,0.0

Algorithm, Puzzle, Cost, Length Of Solution, Length Of Search, Execution, No Solution, Optimality
astarH2, 0, 13, 11, 893, 10.188000440597534,0,,3 0 1 4 2 6 5 7
astarH2, 1, 12, 9, 218, 0.8357577323913574,0,,6 3 4 7 1 2 5 0
astarH2, 2, 9, 10, 70, 0.11614179611206055,0,,1 0 3 6 5 2 7 4
Total-astarH2,3 , 34,30, 1181, 11.139899969100952,0
Average-astarH2, , 11.333333333333334,10.0, 393.6666666666667, 3.7132999897003174,0.0

Algorithm, Puzzle, Cost, Length Of Solution, Length Of Search, Execution, No Solution, Optimality
astarH3, 0, 13, 11, 413, 2.81597900390625,0,,3 0 1 4 2 6 5 7
astarH3, 1, 12, 9, 240, 1.1217970848083496,0,,6 3 4 7 1 2 5 0
astarH3, 2, 9, 10, 75, 0.1830122470855713,0,,1 0 3 6 5 2 7 4
Total-astarH3,3 , 34,30, 728, 4.120788335800171,0
Average-astarH3, , 11.333333333333334,10.0, 242.66666666666666, 1.3735961119333904,0.0
