
Algorithm, Puzzle, Cost, Length Of Solution, Length Of Search, Execution, No Solution, Optimality
gbfsH1, 16, 30, 20, 146, 0.24923491477966309,0,,3 7 4 1 0 2 6 5
gbfsH1, 17, 14, 9, 16, 0.008090496063232422,0,,5 3 6 0 2 1 4 7
gbfsH1, 18, 15, 13, 16, 0.011092662811279297,0,,4 1 0 6 7 2 3 5
gbfsH1, 19, 24, 13, 46, 0.0383298397064209,0,,7 5 3 0 2 6 4 1
gbfsH1, 20, 10, 6, 15, 0.008018255233764648,0,,5 2 3 0 6 1 7 4
gbfsH1, 21, 24, 15, 48, 0.04236340522766113,0,,0 5 3 1 2 7 6 4
gbfsH1, 22, 8, 8, 8, 0.0,0,,3 5 7 2 1 4 0 6
gbfsH1, 23, 17, 11, 50, 0.04128432273864746,0,,5 3 7 1 2 6 0 4
gbfsH1, 24, 32, 18, 118, 0.20035481452941895,0,,5 2 0 6 4 3 7 1
gbfsH1, 25, 26, 17, 113, 0.1713087558746338,0,,0 2 6 5 1 3 7 4
gbfsH1, 26, 28, 18, 52, 0.05687999725341797,0,,6 4 5 3 0 7 2 1
gbfsH1, 27, 27, 19, 68, 0.06902933120727539,0,,7 1 4 2 6 5 0 3
gbfsH1, 28, 19, 13, 32, 0.015591621398925781,0,,1 4 5 3 6 2 7 0
gbfsH1, 29, 20, 11, 43, 0.03124260902404785,0,,4 5 3 2 6 1 7 0
gbfsH1, 30, 30, 20, 113, 0.18485498428344727,0,,7 6 3 0 1 2 4 5
gbfsH1, 31, 30, 22, 154, 0.27946925163269043,0,,1 0 5 6 7 2 3 4
gbfsH1, 32, 17, 13, 16, 0.00801539421081543,0,,5 6 0 2 3 1 7 4
gbfsH1, 33, 23, 15, 107, 0.17218732833862305,0,,1 6 5 7 0 4 3 2
gbfsH1, 34, 22, 14, 46, 0.04018974304199219,0,,5 3 1 7 6 0 2 4
gbfsH1, 35, 22, 14, 46, 0.032117366790771484,0,,6 1 3 4 0 5 2 7
gbfsH1, 36, 19, 13, 67, 0.06227469444274902,0,,0 4 5 7 6 3 1 2
